API_perc,Mannitol_perc,MCC_perc,Lactose_perc,Calcium_silicate_perc,HPMC_perc,Sodium_bicarbonate_perc,SSG_perc,CC_Na_perc,Crospovidone_perc,L_HPC_perc,Pregelatinized_starch_perc,Sodium_carboxymethyl_starch_perc,Mg_stearate_perc,Aerosil_perc,Sodium_stearyl_fumarate_perc,Colloidal_silicon_dioxide_perc,Talc_perc,X2HP_bCD_perc,bCD_perc,CD_methacrylate_perc,Amberlite_IRP_64_69_perc,Eudragit_EPO_perc,Poloxamer_188_perc,PVP_perc,SLS_perc,PVA_perc,Camphor_perc,Hardness_N,GATS7i,Thickness_mm,GGI7,MATS4p,MIC2,Punch_mm,nT12Ring,XLogP,GATS7p,nF8HeteroRing,Disintegration_time_sec
40.65,0.0,10.16,39.02,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76,1.1299078533843998,4.47,0.472222222222222,-0.028345986458903998,43.36713097642821,8.0,0,3.823,1.3888940618091399,0,85.0
5.0,24.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.88,0.979914023096717,3.23,0.333368764172336,-0.030513529778592004,35.7009321967542,7.0,0,4.063,0.9305614078600921,0,46.3
4.76,11.11,27.78,47.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.9481709897409492,3.64,0.173611111111111,-0.18859346760634899,31.410415202153896,9.53,1,4.207,1.01018625900441,1,20.7
7.46,50.75,29.85,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,2.99,0,1.49,0.75,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.9569274447780369,1.96,0.4427083333333329,-0.048725602311990995,41.248301118872796,10.0,0,3.235,1.1996480280338,0,26.0
21.62,61.08,0.0,0.0,0.0,0.0,0.0,8.65,0.0,0.0,0.0,0.0,0,3.24,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,27.53,0.805527924418814,3.5,0.168402777777778,0.064274755227485,30.040778498021197,8.0,0,4.053,0.726826908442132,0,117.23
11.59,32.61,42.75,0.0,0.0,0.0,0.0,0.0,0.0,10.87,0.0,0.0,0,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33,0.957167844789598,2.57,0.282986111111111,-0.226978704269065,37.143602367451294,5.5,0,2.923,0.9018074925984709,0,7.33
17.18,25.77,46.91,0.0,0.0,0.0,0.0,6.53,0.0,0.0,0.0,0.0,0,2.06,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.63,0.955813507964537,3.3,0.40536422902494296,-0.05623225696839499,38.2426994596718,6.0,0,4.607,0.8996217093581401,0,65.2
2.0,45.0,4.9,42.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83,0.841191958519201,4.25,0.5955215419501129,-0.186156552223423,39.081474500079004,8.0,0,1.138,0.844419325732825,0,38.0
2.47,66.08,10.31,0.0,0.0,0.0,0.0,0.0,0.0,7.73,0.0,0.0,0,1.03,1.03,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,2.6,0.9676726649087579,3.16,0.21878543083900198,-0.192361735534093,33.5351036707398,6.0,0,2.574,0.9687653336446709,0,32.0
44.64,0.0,0.0,34.67,0.0,0.0,0.0,0.0,7.14,9.52,0.0,0.0,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,35.51,1.0085836677281999,3.5,0.230902777777778,0.043166370396283,33.2301541688774,10.0,0,5.517,0.962524344512523,0,51.96
3.58,28.65,59.92,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0,1.07,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,36.7,0.0,2.7,0.0,0.128131155878558,22.1913093904883,8.0,0,3.5239999999999996,0.0,0,104.0
10.0,56.4,29.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,2.68,0.0,0.128131155878558,22.1913093904883,7.0,0,3.5239999999999996,0.0,0,14.0
