API_perc,Mannitol_perc,MCC_perc,Lactose_perc,Calcium_silicate_perc,HPMC_perc,Sodium_bicarbonate_perc,SSG_perc,CC_Na_perc,Crospovidone_perc,L_HPC_perc,Pregelatinized_starch_perc,Sodium_carboxymethyl_starch_perc,Mg_stearate_perc,Aerosil_perc,Sodium_stearyl_fumarate_perc,Colloidal_silicon_dioxide_perc,Talc_perc,X2HP_bCD_perc,bCD_perc,CD_methacrylate_perc,Amberlite_IRP_64_69_perc,Eudragit_EPO_perc,Poloxamer_188_perc,PVP_perc,SLS_perc,PVA_perc,Camphor_perc,Hardness_N,GATS7i,Thickness_mm,GGI7,MATS4p,MIC2,Punch_mm,nT12Ring,XLogP,GATS7p,nF8HeteroRing,Disintegration_time_sec
5.78,23.7,39.57,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0,0.51,0.51,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.87,1.17033030076049,3.14,0.26906179138322,0.05298465100421701,37.2783372044701,8.0,0,3.451,1.40269490173653,0,26.0
3.58,28.65,58.49,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0,1.07,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,34.7,0.0,2.7,0.0,0.128131155878558,22.1913093904883,8.0,0,3.5239999999999996,0.0,0,84.0
2.0,45.0,4.9,32.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.38,0.841191958519201,4.37,0.5955215419501129,-0.186156552223423,39.081474500079004,8.0,0,1.138,0.844419325732825,0,34.0
7.46,52.24,29.85,0.0,0.0,0.0,0.0,1.49,3.73,0.0,0.0,0.0,0,1.49,0.75,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.9569274447780369,1.98,0.4427083333333329,-0.048725602311990995,41.248301118872796,10.0,0,3.235,1.1996480280338,0,20.0
2.0,25.0,7.35,54.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.841191958519201,4.24,0.5955215419501129,-0.186156552223423,39.081474500079004,8.0,0,1.138,0.844419325732825,0,31.0
44.64,0.0,0.0,31.7,0.0,0.0,0.0,0.0,9.52,7.14,0.0,0.0,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,35.46,1.0085836677281999,3.62,0.230902777777778,0.043166370396283,33.2301541688774,10.0,0,5.517,0.962524344512523,0,40.53
10.46,29.41,43.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0,0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,0.957167844789598,2.7,0.282986111111111,-0.226978704269065,37.143602367451294,5.5,0,2.923,0.9018074925984709,0,15.67
2.08,54.69,26.04,0.0,0.0,0.0,0.0,1.3,11.72,0.0,0.0,0.0,0,2.08,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.87,0.8956887967950191,3.33,0.206597222222222,0.000791909174244,30.484285557354198,8.0,0,1.173,0.984837068840027,0,31.92
11.59,32.61,42.75,0.0,0.0,0.0,0.0,0.0,0.0,10.87,0.0,0.0,0,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82,0.957167844789598,2.5,0.282986111111111,-0.226978704269065,37.143602367451294,5.5,0,2.923,0.9018074925984709,0,5.83
3.58,60.85,0.0,0.0,0.0,0.0,0.0,0.0,20.03,0.0,0.0,0.0,0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,7.31,0.0,7.15,0.0,0.0,0.0,0.0,54.04,0.9511399680228392,4.09,0.297760770975057,-0.08977948538980901,34.0299644857176,9.5,0,4.803999999999999,0.966471996491307,0,69.9
5.0,26.0,25.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.13,0.979914023096717,3.22,0.333368764172336,-0.030513529778592004,35.7009321967542,7.0,0,4.063,0.9305614078600921,0,67.0
3.02,60.35,17.62,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,38.82,0.9461878465721509,3.26,0.309913548752835,-0.10745489492211802,44.6683719057951,15.0,0,3.457,0.9443427331923041,0,34.66
