API_perc,Mannitol_perc,MCC_perc,Lactose_perc,Calcium_silicate_perc,HPMC_perc,Sodium_bicarbonate_perc,SSG_perc,CC_Na_perc,Crospovidone_perc,L_HPC_perc,Pregelatinized_starch_perc,Sodium_carboxymethyl_starch_perc,Mg_stearate_perc,Aerosil_perc,Sodium_stearyl_fumarate_perc,Colloidal_silicon_dioxide_perc,Talc_perc,X2HP_bCD_perc,bCD_perc,CD_methacrylate_perc,Amberlite_IRP_64_69_perc,Eudragit_EPO_perc,Poloxamer_188_perc,PVP_perc,SLS_perc,PVA_perc,Camphor_perc,Hardness_N,GATS7i,Thickness_mm,GGI7,MATS4p,MIC2,Punch_mm,nT12Ring,XLogP,GATS7p,nF8HeteroRing,Disintegration_time_sec
3.58,28.65,61.35,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0,1.07,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,28.6,0.0,2.75,0.0,0.128131155878558,22.1913093904883,8.0,0,3.5239999999999996,0.0,0,93.0
2.0,25.0,4.9,52.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.95,0.841191958519201,4.43,0.5955215419501129,-0.186156552223423,39.081474500079004,8.0,0,1.138,0.844419325732825,0,32.0
44.64,0.0,0.0,29.91,0.0,0.0,0.0,0.0,11.9,9.52,0.0,0.0,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,38.94,1.0085836677281999,3.6,0.230902777777778,0.043166370396283,33.2301541688774,10.0,0,5.517,0.962524344512523,0,49.1
3.56,0.0,80.0,0.0,0.0,0.0,10.96,0.0,0.0,4.11,0.0,0.0,0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.9575946334489991,3.78,0.8393920068027209,-0.07457540800046,43.422368207659396,6.42,0,10.614,1.0038493271991802,0,10.0
5.0,30.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.27,0.979914023096717,3.21,0.333368764172336,-0.030513529778592004,35.7009321967542,7.0,0,4.063,0.9305614078600921,0,24.0
17.18,25.77,51.37,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0,2.06,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59,0.955813507964537,3.2,0.40536422902494296,-0.05623225696839499,38.2426994596718,6.0,0,4.607,0.8996217093581401,0,70.3
3.56,47.95,33.42,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.58,0.9575946334489991,3.79,0.8393920068027209,-0.07457540800046,43.422368207659396,6.42,0,10.614,1.0038493271991802,0,40.0
5.56,81.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.52,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,67.0,1.0534039577047198,4.04,0.529478458049887,-0.052045401149753,40.6802338954439,8.0,0,4.263,0.957490977384029,0,35.0
7.46,49.25,29.85,0.0,0.0,0.0,0.0,4.48,3.73,0.0,0.0,0.0,0,1.49,0.75,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.9569274447780369,2.01,0.4427083333333329,-0.048725602311990995,41.248301118872796,10.0,0,3.235,1.1996480280338,0,12.0
2.47,71.24,10.31,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0,1.03,1.03,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,2.8,0.9676726649087579,3.14,0.21878543083900198,-0.192361735534093,33.5351036707398,6.0,0,2.574,0.9687653336446709,0,38.0
44.64,0.0,0.0,30.8,0.0,0.0,0.0,0.0,9.52,9.52,0.0,0.0,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,39.37,1.0085836677281999,3.82,0.230902777777778,0.043166370396283,33.2301541688774,10.0,0,5.517,0.962524344512523,0,38.7
2.5,72.4,18.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,31.61,0.9874295776162091,2.1,0.7361111111111109,-0.000646162022205,34.236448440109804,10.0,0,4.775,0.99127562605709,0,52.45
11.59,32.61,48.19,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.47,0.957167844789598,2.68,0.282986111111111,-0.226978704269065,37.143602367451294,5.5,0,2.923,0.9018074925984709,0,16.33
3.25,64.42,0.0,0.0,0.0,0.0,0.0,18.21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,6.64,0.0,6.5,0.0,0.0,0.0,0.0,68.32,0.9511399680228392,4.11,0.297760770975057,-0.08977948538980901,34.0299644857176,9.5,0,4.803999999999999,0.966471996491307,0,37.7
2.08,54.69,26.04,0.0,0.0,0.0,0.0,3.26,9.77,0.0,0.0,0.0,0,2.08,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.81,0.8956887967950191,3.33,0.206597222222222,0.000791909174244,30.484285557354198,8.0,0,1.173,0.984837068840027,0,25.65
3.58,14.33,77.11,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0,1.07,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,35.7,0.0,2.78,0.0,0.128131155878558,22.1913093904883,8.0,0,3.5239999999999996,0.0,0,112.0
3.14,0.0,80.42,0.0,0.0,0.0,10.96,0.0,0.0,4.11,0.0,0.0,0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.43,0.9575946334489991,3.79,0.8393920068027209,-0.07457540800046,43.422368207659396,6.42,0,10.614,1.0038493271991802,0,35.0
67.8,12.71,5.94,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0,0.34,0.0,0.0,0.0,0.51,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06,0.883260408652163,6.5,0.261267006802721,-0.123941264581803,35.604857704931504,16.0,0,3.654,1.00047846754776,0,45.33
11.79,33.15,51.75,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.68,0.957167844789598,2.51,0.282986111111111,-0.226978704269065,37.143602367451294,5.5,0,2.923,0.9018074925984709,0,14.5
7.55,14.25,3.11,0.0,0.0,67.92,0.0,3.11,3.11,0.0,0.0,0.0,0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.79,1.18607147721651,5.1,0.428819444444445,-0.16715040826878302,30.3855225908032,12.0,0,5.083,1.18879196916599,0,50.4
40.65,0.0,14.23,35.98,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.13,1.1299078533843998,4.06,0.472222222222222,-0.028345986458903998,43.36713097642821,8.0,0,3.823,1.3888940618091399,0,50.0
21.62,58.92,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,0,3.24,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,29.57,0.805527924418814,3.5,0.168402777777778,0.064274755227485,30.040778498021197,8.0,0,4.053,0.726826908442132,0,102.34
2.0,35.0,2.45,44.5,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91,0.841191958519201,4.45,0.5955215419501129,-0.186156552223423,39.081474500079004,8.0,0,1.138,0.844419325732825,0,39.0
3.02,60.35,18.12,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,44.56,0.9461878465721509,3.33,0.309913548752835,-0.10745489492211802,44.6683719057951,15.0,0,3.457,0.9443427331923041,0,50.0
3.73,59.23,13.99,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.8,0.0,0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.8460834425545051,2.21,0.3125,-0.11747759982664399,55.3492557340954,12.0,0,2.602,1.0370825769533,0,7.4
